track,score,date,race,ml odds rank,score rank,odds rank,claimed last rank,post position,last 3 purse adv,distance worked rank,days since last race rank,trainer jock combo rank,trainer jock combo adv,trainer jock roi rank,trainer jock roi adv,avg turn time rank,avg turn time adv,current race type,distance,distance difference,days since last race,last finish,surface,program number,horse name,trainer,jockey,impr decl finish,imprv decl speed,weight last race,weight,last purse rank,last purse adv,class difference,lifetime earnings rank,lifetime earnings adv,ml odds current race,off odds current race,speed last race rank,speed last race adv,win % rank,win % adv,avg earnings distance rank,avg earnings distance adv,in the money rank,in the money adv,horses beaten rank,horses beaten adv,best speed last 3 rank,best speed last 3 adv,avg speed last 3 rank,avg speed last 3 adv,best lifetime speed rank,best lifetime speed adv,best speed track rank,best speed track adv,best speed distance rank,best speed distance adv,avg 2 of 3 speed rank,avg 2 of 3 speed adv,win payoff,place payoff,show payoff,finish position
MTH,//64,20160710,1,4,3,2,,7,0,3,1,2,0,4,0,1,0,Mdn_Claimer,5,5,0,0,dirt,7,CREATE A WINDSTORM,SPINA CHARLES,BOCACHICA O,0,0,0,120,4,0,26.18,4,0,4.5,6.5,4,0,0,0,0,0,2,0,3,0,4,0,4,0,4,0,4,0,0,0,4,0,0,0,0,5
MTH,//64,20160710,1,1,3,1,,6,0,4,1,2,0,2,0,1,0,Mdn_Claimer,5,5,0,0,dirt,6,BAJAN CASH,WARD WESLEY A,LOPEZ PASCACIO,0,0,0,120,4,0,26.18,4,0,1.6,0.5,4,0,0,0,0,0,2,0,3,0,4,0,4,0,4,0,4,0,0,0,4,0,0,2.4,2.1,2
MTH,//108,20160710,1,7,7,7,,5,0,7,9,2,0,4,0,5,0,Mdn_Claimer,5,0.5,23,6,dirt,5,JOHN JACOB,KELLY TIMOTHY J,MAYSONETT F,0,0,120,119,2,0,16.22,2,0,15,41.5,3,0,0,0,0,0,2,0,3,0,3,0,3,0,3,0,3,0,0,0,3,0,0,0,0,7
MTH,//64,20160710,1,2,3,4,,4,0,2,1,2,0,2,0,1,0,Mdn_Claimer,5,5,0,0,dirt,4,JERANDSON,LOPEZ DANIEL J,LEBRON VICTOR,0,0,0,120,4,0,26.18,4,0,3,7.6,4,0,0,0,0,0,2,0,3,0,4,0,4,0,4,0,4,0,0,0,4,0,17.2,4.8,3.6,1
MTH,//64,20160710,1,5,3,6,,3,0,1,1,1,100,1,59.7,1,0,Mdn_Claimer,5,5,0,0,dirt,3,LIGHTNING FLASH,GULYAS PETER,USKE S,0,0,0,120,4,0,26.18,4,0,8,11.8,4,0,0,0,0,0,2,0,3,0,4,0,4,0,4,0,4,0,0,0,4,0,0,0,4.2,3
MTH,//10,20160710,1,3,1,3,,2,0,5,9,2,0,4,0,6,0,Mdn_Claimer,5,0.5,23,3,dirt,2,GONE ASTRAY KISS,RYAN DEREK S,MANGALEE N,0,0,120,120,2,0,16.22,1,83,3.5,7.3,1,20,0,0,0,0,1,100,1,71.7,1,20,1,20,1,20,1,20,0,0,1,20,0,0,0,4
MTH,//24,20160710,1,6,2,5,,1,41.7,5,6,2,0,4,0,7,0,Mdn_Claimer,5,0.5,37,6,dirt,1,GOT HUMOR,WARD DENNIS,FERRER J C,0,0,119,118,1,41.7,-16.36,2,0,10,11,2,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,2,0,0,0,0,6
MTH,//48,20160710,2,3,3,4,,6,0,4,13,4,0,2,0,3,0,Claiming,8.5,0.2,15,5,turf,6,PORT AGGREGATE,STUART SHEA,LEBRON VICTOR,2,2,120,119,1,25,-3.91,1,25.5,6,3.9,4,0,1,24,5,0,1,0,3,0,1,0,2,0,3,0,3,0,2,0,1,1.7,0,4,2.6,2
MTH,//8,20160710,2,1,1,2,,5,0,1,4,1,29.8,1,1.6,1,2.2,Claiming,8.5,1,269,1,turf,5,METZ,NAVARRO JORGE,GONZALES JONATHAN J,0,0,121,119,4,0,0.25,3,0,4,2.5,2,0,3,0,1,43.1,1,0,1,11.3,3,0,1,1.2,4,0,3,0,3,0,2,0,0,0,0,5
MTH,//15,20160710,2,4,2,2,,4,5.6,2,10,3,0,3,0,5,0,Claiming,8.5,0.5,40,1,turf,4,NICHE,IWINSKI ALLEN,ALVARADO R JR,1,1,120,119,2,0,0.01,2,0,10,2.5,1,2.3,2,0,3,0,3,0,4,0,1,0,5,0,1,0,3,0,5,0,4,0,0,0,2.6,3
